name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	resection
A1	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A2	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A3	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A4	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A5	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A6	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A7	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A8	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A9	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A10	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A11	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A12	n/a	µV	0.016	300	n/a	n/a	1000	n/a	n/a	n/a	depth	n/a
A13	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A14	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A15	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A16	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A17	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A18	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A19	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A20	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A21	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
A22	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact	n/a
A23	ECOG	µV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a	preserved
